SchoolLongName,Address,City,State,Zip Code Plus 4
Autauga County Alternative School,153 W 4th St,Prattville,AL,36067-3011
Autaugaville School,PO Box 99,Autaugaville,AL,36003-0099
Billingsley High School,PO Box 118,Billingsley,AL,36006-0118
Louise M Smith Development Center,PO Box 681952,Prattville,AL,36068-1952
Marbury High School,2360 US Highway 31 N,Deatsville,AL,36022-2831
Prattville High School,1315 Upper Kingston Rd,Prattville,AL,36067-6835
Autauga County Technology Center,1301 Upper Kingston Rd,Prattville,AL,36067-6850
Baldwin County High School,1 Tiger Dr,Bay Minette,AL,36507-3300
Daphne High School,9300 Champions Way,Daphne,AL,36526-8090
Fairhope High School,1 Pirate Dr,Fairhope,AL,36532-7085
Foley High School,1 Pride Pl,Foley,AL,36535-1199
Gulf Shores High School,PO Box 3729,Gulf Shores,AL,36547-3729
Robertsdale High School,PO Box 69,Robertsdale,AL,36567-0069
Spanish Fort High School,1 Plaza De Toros,Spanish Fort,AL,36527-8679
North Baldwin Center For Technology,505 Dr Martin Luther King Blvd,Bay Minette,AL,36507-2822
South Baldwin Center For Technology,19200 Carolina St,Robertsdale,AL,36567-6812
Barbour County High School,PO Box 339,Clayton,AL,36016-0339
Bibb County High School,220 Birmingham Rd,Centreville,AL,35042-2911
West Blocton High School,4734 Truman Aldrich Pkwy,West Blocton,AL,35184-3900
Bibb County Career Academy,17191 Highway 5,West Blocton,AL,35184-3638
Allgood Alternative School,45 Community Rd,Oneonta,AL,35121-3308
Appalachian  School,350 County Highway 12,Oneonta,AL,35121-7112
Blount County Learning Center,189 Horton Ln,Cleveland,AL,35049-3341
Cleveland High School,71 High School St,Cleveland,AL,35049-3691
Hayden High School,125 Atwood Rd,Hayden,AL,35079-6502
JB Pennington High School,81 College St,Blountsville,AL,35031-6820
Locust Fork High School,77 School Rd,Locust Fork,AL,35097-5811
Southeastern School,18770 State Highway 75,Remlap,AL,35133-3208
Susan Moore High School,4040 Susan Moore Rd,Blountsville,AL,35031-7039
Blount County Career Technical Center,PO Box 125,Cleveland,AL,35049-0125
Bullock County High School,PO Box 5108,Union Springs,AL,36089-5108
Bullock County Career Technical Center ,304 Blackmon Ave E,Union Springs,AL,36089-1625
Greenville High School,100 Tiger Dr,Greenville,AL,36037-3819
McKenzie High School,PO Box 158,McKenzie,AL,36456-0158
Georgiana School ,866 Highway 31 South,Georgiana,AL,36033-0000
Butler County Area Vocational School,211 School Highlands Rd,Greenville,AL,36037-3213
Alexandria High School,PO Box 180,Alexandria,AL,36250-0180
